key,fuel_load_1hr,fuel_load_10hr,fuel_load_100hr,fuel_load_live_herb,fuel_load_live_woody,savr_1hr,savr_10hr,savr_100hr,savr_live_herb,savr_live_woody,fuel_depth,moisture_of_extinction,heat_content,is_dynamic
91,0,0,0,0,0,0,0,0,0,0,0,0,0,false
92,0,0,0,0,0,0,0,0,0,0,0,0,0,false
93,0,0,0,0,0,0,0,0,0,0,0,0,0,false
98,0,0,0,0,0,0,0,0,0,0,0,0,0,false
99,0,0,0,0,0,0,0,0,0,0,0,0,0,false
101,0.10,0,0,0.30,0,2200,109,30,2000,9999,0.4,15,8000,true
102,0.10,0,0,1.00,0,2000,109,30,1800,9999,1.0,15,8000,true
103,0.10,0.40,0,1.50,0,1500,109,30,1300,9999,2.0,30,8000,true
104,0.25,0,0,1.90,0,2000,109,30,1800,9999,2.0,15,8000,true
105,0.40,0,0,2.50,0,1800,109,30,1600,9999,1.5,40,8000,true
106,0.10,0,0,3.40,0,2200,109,30,2000,9999,1.5,40,9000,true
107,1.00,0,0,5.40,0,2000,109,30,1800,9999,3.0,15,8000,true
108,0.50,1.00,0,7.30,0,1500,109,30,1300,9999,4.0,30,8000,true
109,1.00,1.00,0,9.00,0,1800,109,30,1600,9999,5.0,40,8000,true
121,0.20,0,0,0.50,0.65,2000,109,30,1800,1800,0.9,15,8000,true
122,0.50,0.50,0,0.60,1.00,2000,109,30,1800,1800,1.5,15,8000,true
123,0.30,0.25,0,1.45,1.25,1800,109,30,1600,1600,1.8,40,8000,true
124,1.90,0.30,0.10,3.40,7.10,1800,109,30,1600,1600,2.1,40,8000,true
141,0.25,0.25,0,0.15,1.30,2000,109,30,1800,1600,1.0,15,8000,true
142,1.35,2.40,0.75,0,3.85,2000,109,30,9999,1600,1.0,15,8000,false
143,0.45,3.00,0,0,6.20,1600,109,30,9999,1400,2.4,40,8000,false
144,0.85,1.15,0.20,0,2.55,2000,109,30,1800,1600,3.0,30,8000,false
145,3.60,2.10,0,0,2.90,750,109,30,9999,1600,6.0,15,8000,false
146,2.90,1.45,0,0,1.40,750,109,30,9999,1600,2.0,30,8000,false
147,3.50,5.30,2.20,0,3.40,750,109,30,9999,1600,6.0,15,8000,false
148,2.05,3.40,0.85,0,4.35,750,109,30,9999,1600,3.0,40,8000,false
149,4.50,2.45,0,1.55,7.00,750,109,30,1800,1500,4.4,40,8000,true
161,0.20,0.90,1.50,0.20,0.90,2000,109,30,1800,1600,0.6,20,8000,true
162,0.95,1.80,1.25,0,0.20,2000,109,30,9999,1600,1.0,30,8000,false
163,1.10,0.15,0.25,0.65,1.10,1800,109,30,1600,1400,1.3,30,8000,true
164,4.50,0,0,0,2.00,2300,109,30,9999,2000,0.5,12,8000,false
165,4.00,4.00,3.00,0,3.00,1500,109,30,9999,750,1.0,25,8000,false
181,1.00,2.20,3.60,0,0,2000,109,30,9999,9999,0.2,30,8000,false
182,1.40,2.30,2.20,0,0,2000,109,30,9999,9999,0.2,25,8000,false
183,0.50,2.20,2.80,0,0,2000,109,30,9999,9999,0.3,20,8000,false
184,0.50,1.50,4.20,0,0,2000,109,30,9999,9999,0.4,25,8000,false
185,1.15,2.50,4.40,0,0,2000,109,30,9999,1600,0.6,25,8000,false
186,2.40,1.20,1.20,0,0,2000,109,30,9999,9999,0.3,25,8000,false
187,0.30,1.40,8.10,0,0,2000,109,30,9999,9999,0.4,25,8000,false
188,5.80,1.40,1.10,0,0,1800,109,30,9999,9999,0.3,35,8000,false
189,6.65,3.30,4.15,0,0,1800,109,30,9999,1600,0.6,35,8000,false
201,1.50,3.00,11.00,0,0,2000,109,30,9999,9999,1.0,25,8000,false
202,4.50,4.25,4.00,0,0,2000,109,30,9999,9999,1.0,25,8000,false
203,5.50,2.75,3.00,0,0,2000,109,30,9999,9999,1.2,25,8000,false
204,5.25,3.50,5.25,0,0,2000,109,30,9999,9999,2.7,25,8000,false
