SPCD,COMMON_NAME,MAJOR_SPGRPCD,MAJOR_NAME,E_SPGRPCD,EAST_NAME,W_SPGRPCD,WEST_NAME,C_SPGRPCD,CARIBBEAN_NAME,P_SPGRPCD,PACIFIC_NAME,JENKINS_SPGRPCD,JENKINS_NAME,STOCKING_SPGRPCD,STOCKING_NAME
10,fir spp.,2,Other softwoods,6.0,Spruce and balsam fir,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
11,Pacific silver fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
12,balsam fir,2,Other softwoods,6.0,Spruce and balsam fir,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
14,Santa Lucia or bristlecone fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
15,white fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,15.0,Douglas-fir
16,Fraser fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
17,grand fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
18,corkbark fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
19,subalpine fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
20,California red fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
21,Shasta red fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
22,noble fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
40,white-cedar spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
41,Port-Orford-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,18.0,Western hemlock
42,Alaska yellow-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,18.0,Western hemlock
43,Atlantic white-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,16.0,Northern white cedar
50,cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,52.0,Other tropical and subtropical softwoods,52.0,Other tropical and subtropical softwoods,1,Cedar/larch,10.0,Ponderosa pine
51,Arizona cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
52,Baker or Modoc cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
53,Tecate cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
54,Monterey cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
55,Sargent's cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
56,MacNab's cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
57,redcedar/juniper spp.,2,Other softwoods,9.0,Other eastern softwoods,23.0,Woodland softwoods,,,,,1,Cedar/larch,20.0,Average softwood
58,Pinchot juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
59,redberry juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
60,Drooping juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,20.0,Average softwood
61,Ashe juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,20.0,Average softwood
62,California juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
63,alligator juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
64,western juniper,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,38.0,Dryland species
65,Utah juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
66,Rocky Mountain juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
67,southern redcedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
68,eastern redcedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
69,oneseed juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
70,larch spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,1.0,Spruce-fir
71,tamarack,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,1.0,Spruce-fir
72,subalpine larch,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,2.0,Western larch
73,western larch,2,Other softwoods,9.0,Other eastern softwoods,19.0,Western larch,,,,,1,Cedar/larch,2.0,Western larch
74,Japanese larch,2,Other softwoods,56.0,Urban-specific softwoods,56.0,Urban-specific softwoods,,,,,1,Cedar/larch,20.0,Average softwood
75,Siberian larch,2,Other softwoods,56.0,Urban-specific softwoods,56.0,Urban-specific softwoods,,,,,1,Cedar/larch,20.0,Average softwood
81,incense-cedar,2,Other softwoods,9.0,Other eastern softwoods,20.0,Incense-cedar,,,,,1,Cedar/larch,18.0,Western hemlock
90,spruce spp.,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
91,Norway spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
92,Brewer spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,18.0,Western hemlock
93,Engelmann spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
94,white spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
95,black spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,3.0,Black spruce
96,blue spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
97,red spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
98,Sitka spruce,2,Other softwoods,9.0,Other eastern softwoods,17.0,Sitka spruce,,,,,5,Spruce,18.0,Western hemlock
100,pine spp.,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,51.0,Tropical and subtropical pines,52.0,Other tropical and subtropical softwoods,4,Pine,20.0,Average softwood
101,whitebark pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
102,Rocky Mountain bristlecone pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
103,knobcone pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,8.0,Western white pine
104,foxtail pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,8.0,Western white pine
105,jack pine,1,Pines,5.0,Jack pine,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
106,common or two-needle pinyon,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
107,sand pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
108,lodgepole pine,1,Pines,9.0,Other eastern softwoods,21.0,Lodgepole pine,,,,,4,Pine,5.0,Lodgepole pine
109,Coulter pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
110,shortleaf pine,1,Pines,2.0,Loblolly and shortleaf pines,24.0,Other western softwoods,,,,,4,Pine,6.0,Shortleaf pine
111,slash pine,1,Pines,1.0,Longleaf and slash pines,24.0,Other western softwoods,,,,,4,Pine,7.0,Slash pine
112,Apache pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
113,limber pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
114,southwestern white pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
115,spruce pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
116,Jeffrey pine,1,Pines,9.0,Other eastern softwoods,11.0,Ponderosa and Jeffrey pines,,,,,4,Pine,10.0,Ponderosa pine
117,sugar pine,1,Pines,9.0,Other eastern softwoods,14.0,Sugar pine,,,,,4,Pine,10.0,Ponderosa pine
118,Chihuahuan pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
119,western white pine,1,Pines,9.0,Other eastern softwoods,15.0,Western white pine,,,,,4,Pine,8.0,Western white pine
120,bishop pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
121,longleaf pine,1,Pines,1.0,Longleaf and slash pines,24.0,Other western softwoods,,,,,4,Pine,9.0,Longleaf pine
122,ponderosa pine,1,Pines,9.0,Other eastern softwoods,11.0,Ponderosa and Jeffrey pines,,,,,4,Pine,10.0,Ponderosa pine
